,T,P,FDR,HOLM
C9orf116,6.6740632138328815,2.4881635780579896e-11,7.63705468083097e-10,3.403558958425524e-07
HEBP2,0.6521599029046814,0.514298023732501,0.6383237169282855,1.0
LARGE,1.9814820773793242,0.04753723732793164,0.10352456274527073,1.0
KLF7,1.4673539458418663,0.14227979577422908,0.24687674922141026,1.0
UNC93B1,3.57587095898945,0.00034906381216140935,0.0017854790797170786,1.0
ZNF267,0.7435844751644219,0.45712789830697287,0.587373827707351,1.0
ESCO1,-1.959701149073142,0.05003073078884141,0.10774325542919114,1.0
ALG10B,-5.615031702020254,1.9652621044451722e-08,3.32753001588573e-07,0.0002614584703753857
FAM65B,0.1847690439845336,0.8534101890817598,0.904596885083065,1.0
SLC30A10,-0.5182873038219098,0.6042578298234916,0.7140578782920315,1.0
POLR2H,2.122564000486789,0.033790404303089244,0.07875514936318426,1.0
ARID5B,-2.0721571766348674,0.03825078557288235,0.08692969079398981,1.0
TM4SF1,2.4492300046870277,0.014316199640944662,0.039446975350550695,1.0
TSC22D4,2.5411132034567983,0.011050013569165443,0.03200022364622307,1.0
TUFT1,-5.893695818046073,3.776520859453673e-09,7.525247530708753e-08,5.071867514246282e-05
C10orf118,1.9951688137098431,0.04602447116107493,0.10091407774120306,1.0
RIMS3,-1.4589887965889203,0.1445681912806583,0.2501413643771811,1.0
SDHAF2,2.652104726112116,0.007999172682153392,0.024579939878349197,1.0
ZNF229,2.4020593366190943,0.01630306371984296,0.04387830094634299,1.0
SSSCA1,2.7511014146252797,0.005939525214780415,0.019158797053745267,1.0
CTNNA2,0.7900528017449269,0.4294969323522607,0.5609448156670912,1.0
GFM2,0.5865365249246781,0.5575150240480189,0.6754775396341496,1.0
HIST1H2AD,1.8421390138609912,0.06545481835784084,0.13338140990820896,1.0
ZNF83,-0.8573067014039014,0.39127540590418985,0.5252422795929962,1.0
VGLL2,-3.3138928751969132,0.0009200674973787341,0.004046007551458956,1.0
ADRB2,2.8765246106885107,0.004020808396890757,0.01384129269910921,1.0
AFG3L2,0.584589065218978,0.5588240619721045,0.6764259065206861,1.0
RELB,0.9019646406616896,0.367075651353165,0.5011769660187515,1.0
ELOVL7,3.261513827183603,0.001108190276856441,0.00472342301302272,1.0
IGSF8,-2.080189691982665,0.03750813734501877,0.08566484336371603,1.0
UBIAD1,2.230319822626433,0.025726218113504916,0.06346488774886276,1.0
NUP62,-0.7551680664527968,0.45014814655089264,0.5802511393085813,1.0
IKZF4,-3.751617971252917,0.00017569704593591734,0.000994795689003604,1.0
BMF,0.8109302701557699,0.41740571579127106,0.5499518529398667,1.0
PYCRL,2.6188737638197903,0.008822058733470858,0.02667370966078079,1.0
GLG1,1.5366350963122755,0.12438269304334633,0.22231637348253228,1.0
VANGL2,1.1988957438076375,0.23056848693340737,0.35672765028064274,1.0
RNF111,0.8283046601506152,0.4074979843408246,0.5400067063749099,1.0
PTGR2,1.9789417204953519,0.04782256826980408,0.10398576902468318,1.0
ZNF530,-2.330538805218099,0.019777691531192694,0.05124945067228781,1.0
TPM3,0.18446036176753422,0.8536523202684452,0.9047178788572172,1.0
FANCG,-6.439135637871157,1.2015578929636118e-10,3.2558618629266456e-09,1.6362815386378466e-06
CA4,-4.255813957509419,2.082898546090518e-05,0.00015900658555414548,0.25592574435814197
TLR3,2.3570421521782587,0.01842115569518041,0.04836365816498805,1.0
SLFNL1,-0.03417524449573726,0.9727374070372645,0.9864831404270028,1.0
TRIM22,0.26517292569534856,0.7908762506965868,0.8613009114426394,1.0
C5orf28,-1.5452335940689403,0.12228977128131843,0.21929639603948248,1.0
SLC35E1,-0.22116851245203617,0.8249612255925187,0.8860671433128489,1.0
PPAPDC3,0.6789513144725761,0.49716871039826815,0.6236886626096464,1.0
FAM181A,-1.0294929612489414,0.30324808567713735,0.43623539227750996,1.0
CRTAM,0.4033329380312903,0.6867033138479668,0.7821437602664567,1.0
GATS,2.181895273690084,0.029117262747566087,0.06987945352658112,1.0
